C2BrOP,O=PC#CBr
C2H4Br3P_4,CPC(Br)(Br)Br
C2H4BrCl2P,PC(CCl)(Br)Cl
C2H4BrCl2P_1,PC(Br)C(Cl)Cl
C2H4BrCl2P_2,PC(CBr)(Cl)Cl
C2H4BrCl2P_3,PC(Cl)C(Br)Cl
C2H4BrCl2P_4,PCC(Cl)(Br)Cl
C2H4BrCl2P_5,ClCPC(Br)Cl
C2H4BrCl2P_6,CPC(Cl)(Cl)Br
C2H4BrCl2P_7,BrCPC(Cl)Cl
C2H4BrClFP,PC(CF)(Br)Cl
C2H4BrClFP_1,PC(CCl)(Br)F
C2H4BrClFP_2,PC(Br)C(Cl)F
C2H4BrClFP_3,PC(CBr)(Cl)F
C2H4BrClFP_4,PC(Cl)C(Br)F
C2H4BrClFP_5,PC(F)C(Br)Cl
C2H4BrClFP_6,PCC(F)(Br)Cl
C2H4BrClFP_7,CPC(F)(Br)Cl
C2H4BrClFP_8,FCPC(Br)Cl
C2H4BrClFP_9,ClCPC(Br)F
C2H4BrClFP_10,BrCPC(Cl)F
C2H4BrClIP,PC(CI)(Br)Cl
C2H4BrClIP_1,PC(CCl)(Br)I
C2H4BrClIP_2,PC(Br)C(Cl)I
C2H4BrClIP_3,PC(CBr)(Cl)I
C2H4BrClIP_4,PC(Cl)C(Br)I
C2H4BrClIP_5,PC(I)C(Br)Cl
C2H4BrClIP_6,PCC(I)(Br)Cl
C2H4BrClIP_7,CPC(I)(Br)Cl
C2H4BrClIP_8,ICPC(Br)Cl
C2H4BrClIP_9,ClCPC(Br)I
C2H4BrClIP_10,BrCPC(Cl)I
C2H4BrF2P,PC(CF)(Br)F
C2H4BrF2P_1,PC(Br)C(F)F
C2H4BrF2P_2,PC(CBr)(F)F
C2H4BrF2P_3,PC(F)C(Br)F
C2H4BrF2P_4,PCC(F)(Br)F
C2H4BrF2P_5,CPC(F)(Br)F
C2H4BrF2P_6,FCPC(Br)F
C2H4BrF2P_7,BrCPC(F)F
C2H4BrFIP,PC(CI)(Br)F
C2H4BrFIP_1,PC(CF)(Br)I
C2H4BrFIP_2,PC(Br)C(F)I
C2H4BrFIP_3,PC(CBr)(F)I
C2H4BrFIP_4,PC(F)C(Br)I
C2H4BrFIP_5,PC(I)C(Br)F
C2H4BrFIP_6,PCC(I)(Br)F
C2H4BrFIP_7,CPC(I)(Br)F
C2H4BrFIP_8,ICPC(Br)F
C2H4BrFIP_9,FCPC(Br)I
C2H4BrFIP_10,BrCPC(F)I
C2H4BrO2P,O=P(C(Br)=C)O
C2H4BrO2P_1,O=P(C=CBr)O
C2H4BrO2P_2,O=P1(O)C(Br)C1
C2H4BrP,PC(Br)=C
C2H4BrP_1,PC=CBr
C2H4BrP_2,BrC1CP1
C2H4Cl2FP,PC(CF)(Cl)Cl
C2H4Cl2FP_1,PC(CCl)(Cl)F
C2H4Cl2FP_2,PC(Cl)C(Cl)F
C2H4Cl2FP_3,PC(F)C(Cl)Cl
C2H4Cl2FP_4,PCC(F)(Cl)Cl
C2H4Cl2FP_5,ClCPC(Cl)F
C2H4Cl2FP_6,CPC(F)(Cl)Cl
C2H4Cl2FP_7,FCPC(Cl)Cl
C2H4Cl2IP,PC(CI)(Cl)Cl
C2H4Cl2IP_1,PC(CCl)(Cl)I
C2H4Cl2IP_2,PC(Cl)C(Cl)I
C2H4Cl2IP_3,PC(I)C(Cl)Cl
C2H4Cl2IP_4,PCC(I)(Cl)Cl
C2H4Cl2IP_5,ClCPC(Cl)I
C2H4Cl2IP_6,CPC(I)(Cl)Cl
C2H4Cl2IP_7,ICPC(Cl)Cl
C2H4Cl3P,ClC(CCl)(P)Cl
C2H4Cl3P_1,ClC(P)C(Cl)Cl
C2H4Cl3P_2,ClC(Cl)(Cl)CP
C2H4Cl3P_3,ClCPC(Cl)Cl
C2H4Cl3P_4,CPC(Cl)(Cl)Cl
C2H4ClF2P,PC(CF)(Cl)F
C2H4ClF2P_1,PC(Cl)C(F)F
C2H4ClF2P_2,PC(CCl)(F)F
C2H4ClF2P_3,PC(F)C(Cl)F
C2H4ClF2P_4,PCC(F)(Cl)F
C2H4ClF2P_5,CPC(F)(Cl)F
C2H4ClF2P_6,FCPC(Cl)F
C2H4ClF2P_7,ClCPC(F)F
C2H4ClFIP,PC(CI)(Cl)F
C2H4ClFIP_1,PC(CF)(Cl)I
C2H4ClFIP_2,PC(Cl)C(F)I
C2H4ClFIP_3,PC(CCl)(F)I
C2H4ClFIP_4,PC(F)C(Cl)I
C2H4ClFIP_5,PC(I)C(Cl)F
C2H4ClFIP_6,PCC(I)(Cl)F
C2H4ClFIP_7,CPC(I)(Cl)F
C2H4ClFIP_8,ICPC(Cl)F
C2H4ClFIP_9,FCPC(Cl)I
C2H4ClFIP_10,ClCPC(F)I
C2H4ClI2P,PC(CI)(Cl)I
C2H4ClI2P_1,PC(Cl)C(I)I
C2H4ClI2P_2,PC(CCl)(I)I
C2H4ClI2P_3,PC(I)C(Cl)I
C2H4ClI2P_4,PCC(I)(Cl)I
C2H4ClI2P_5,CPC(I)(Cl)I
C2H4ClI2P_6,ICPC(Cl)I
C2H4ClI2P_7,ClCPC(I)I
C2H4ClO2P,O=P(C(Cl)=C)O
C2H4ClO2P_1,O=P(C=CCl)O
C2H4ClO2P_2,O=P1(O)C(Cl)C1
C2H4ClP,PC(Cl)=C
C2H4ClP_1,PC=CCl
C2H4ClP_2,ClC1CP1
C2H4F2IP,PC(CI)(F)F
C2H4F2IP_1,PC(CF)(F)I
C2H4F2IP_2,PC(F)C(F)I
C2H4F2IP_3,PC(I)C(F)F
C2H4F2IP_4,PCC(I)(F)F
C2H4F2IP_5,CPC(I)(F)F
C2H4F2IP_6,ICPC(F)F
C2H4F2IP_7,FCPC(F)I
C2H4F3P,PC(CF)(F)F
C2H4F3P_1,PC(F)C(F)F
C2H4F3P_2,PCC(F)(F)F
C2H4F3P_3,FCPC(F)F
C2H4F3P_4,CPC(F)(F)F
C2H4FI2P,PC(CI)(F)I
C2H4FI2P_1,PC(F)C(I)I
C2H4FI2P_2,PC(CF)(I)I
C2H4FI2P_3,PC(I)C(F)I
C2H4FI2P_4,PCC(I)(F)I
C2H4FI2P_5,FCPC(I)I
C2H4FI2P_6,CPC(I)(F)I
C2H4FI2P_7,ICPC(F)I
C2H4FO2P,O=P(C(F)=C)O
C2H4FO2P_1,O=P(C=CF)O
C2H4FO2P_2,O=P1(O)C(F)C1
C2H4FOP,O=PC(F)C
C2H4FOP_1,O=PCCF
C2H4FOP_2,O=P1C(F)C1
C2H4FOP_3,FC(=C)[P]([H])([H])=O
C2H4FOP_4,FC=C[P]([H])([H])=O
C2H4FP,PC(F)=C
C2H4FP_1,PC=CF
C2H4FP_2,FC1CP1
C2H4IO2P,O=P(C(I)=C)O
C2H4IO2P_1,O=P(C=CI)O
C2H4IO2P_2,O=P1(O)C(I)C1
C2H4IP,PC(I)=C
C2H4IP_1,PC=CI
C2H4IP_2,IC1CP1
C2H4NO2P,C(C(=N)O)P=O
C2H4NOP,C1C=NPO1
C2H5Br2OP,BrC(POC)Br
C2H5Br2OP_1,O=P(C)C(Br)Br
C2H5Br2OP_2,O=P(CBr)CBr
C2H5Br2OP_3,BrC(C)(Br)[P]([H])([H])=O
C2H5Br2OP_4,BrC(CBr)[P]([H])([H])=O
C2H5Br2OP_5,BrC(Br)C[P]([H])([H])=O
C2H5Br2P,PC(C)(Br)Br
C2H5Br2P_1,PC(Br)CBr
C2H5Br2P_2,PCC(Br)Br
C2H5Br2P_3,CPC(Br)Br
C2H5Br2P_4,BrCPCBr
C2H5BrClOP,BrC(POC)Cl
C2H5BrClOP_1,O=P(C)C(Br)Cl
C2H5BrClOP_2,O=P(CCl)CBr
C2H5BrClOP_3,BrC(C)(Cl)[P]([H])([H])=O
C2H5BrClOP_4,BrC(CCl)[P]([H])([H])=O
C2H5BrClOP_5,ClC(CBr)[P]([H])([H])=O
C2H5BrClOP_6,BrC(Cl)C[P]([H])([H])=O
C2H5BrClP,BrC(C)(P)Cl
C2H5BrClP_1,PC(Br)CCl
C2H5BrClP_2,ClC(P)CBr
C2H5BrClP_3,BrC(Cl)CP
C2H5BrClP_4,CPC(Cl)Br
C2H5BrClP_5,ClCPCBr
C2H5BrFOP,BrC(POC)F
C2H5BrFOP_1,O=P(C)C(Br)F
C2H5BrFOP_2,O=P(CBr)CF
C2H5BrFOP_3,BrC(C)(F)[P]([H])([H])=O
C2H5BrFOP_4,BrC(CF)[P]([H])([H])=O
C2H5BrFOP_5,FC(CBr)[P]([H])([H])=O
C2H5BrFOP_6,BrC(F)C[P]([H])([H])=O
C2H5BrFP,PC(C)(Br)F
C2H5BrFP_1,PC(Br)CF
C2H5BrFP_2,PC(F)CBr
C2H5BrFP_3,PCC(Br)F
C2H5BrFP_4,CPC(Br)F
C2H5BrFP_5,BrCPCF
C2H5BrIOP,BrC(POC)I
C2H5BrIOP_1,O=P(C)C(Br)I
C2H5BrIOP_2,O=P(CBr)CI
C2H5BrIP,PC(C)(Br)I
C2H5BrIP_1,PC(Br)CI
C2H5BrIP_2,PC(I)CBr
C2H5BrIP_3,PCC(Br)I
C2H5BrIP_4,CPC(Br)I
C2H5BrIP_5,BrCPCI
C2H5Cl2OP,ClC(POC)Cl
C2H5Cl2OP_1,O=P(C)C(Cl)Cl
C2H5Cl2OP_2,O=P(CCl)CCl
C2H5Cl2OP_3,ClC(CCl)[P]([H])([H])=O
C2H5Cl2OP_4,ClC(C)(Cl)[P]([H])([H])=O
C2H5Cl2OP_5,ClC(Cl)C[P]([H])([H])=O
C2H5Cl2P,ClC(C)(P)Cl
C2H5Cl2P_1,ClC(P)CCl
C2H5Cl2P_2,ClC(Cl)CP
C2H5Cl2P_3,CPC(Cl)Cl
C2H5Cl2P_4,ClCPCCl
C2H5ClFOP,ClC(POC)F
C2H5ClFOP_1,O=P(C)C(Cl)F
C2H5ClFOP_2,O=P(CCl)CF
C2H5ClFOP_3,ClC(C)(F)[P]([H])([H])=O
C2H5ClFOP_4,ClC(CF)[P]([H])([H])=O
C2H5ClFOP_5,FC(CCl)[P]([H])([H])=O
C2H5ClFOP_6,ClC(F)C[P]([H])([H])=O
C2H5ClFP,PC(C)(Cl)F
C2H5ClFP_1,PC(Cl)CF
C2H5ClFP_2,PC(F)CCl
C2H5ClFP_3,PCC(Cl)F
C2H5ClFP_4,CPC(Cl)F
C2H5ClFP_5,ClCPCF
C2H5ClIOP,ClC(POC)I
C2H5ClIOP_1,O=P(C)C(Cl)I
C2H5ClIOP_2,O=P(CCl)CI
C2H5ClIOP_3,ClC(C)([P]([H])([H])=O)I
C2H5ClIOP_4,ClC([P]([H])([H])=O)CI
C2H5ClIOP_5,IC([P]([H])([H])=O)CCl
C2H5ClIOP_6,ClC(C[P]([H])([H])=O)I
C2H5ClIP,PC(C)(Cl)I
C2H5ClIP_1,PC(Cl)CI
C2H5ClIP_2,PC(I)CCl
C2H5ClIP_3,PCC(Cl)I
C2H5ClIP_4,CPC(Cl)I
C2H5ClIP_5,ClCPCI
C2H5F2OP,FC(POC)F
C2H5F2OP_1,O=P(C)C(F)F
C2H5F2OP_2,O=P(CF)CF
C2H5F2OP_3,FC(C)(F)[P]([H])([H])=O
C2H5F2OP_4,FC(CF)[P]([H])([H])=O
C2H5F2OP_5,FC(F)C[P]([H])([H])=O
C2H5F2P,PC(C)(F)F
C2H5F2P_1,PC(F)CF
C2H5F2P_2,PCC(F)F
C2H5F2P_3,CPC(F)F
C2H5F2P_4,FCPCF
C2H5FIOP,FC(POC)I
C2H5FIOP_1,O=P(C)C(F)I
C2H5FIOP_2,O=P(CI)CF
C2H5FIOP_3,FC(C)(I)[P]([H])([H])=O
C2H5FIOP_4,FC(CI)[P]([H])([H])=O
C2H5FIOP_5,IC(CF)[P]([H])([H])=O
C2H5FIOP_6,FC(I)C[P]([H])([H])=O
C2H5FIP,PC(C)(F)I
C2H5FIP_1,PC(F)CI
C2H5FIP_2,PC(I)CF
C2H5FIP_3,PCC(F)I
C2H5FIP_4,CPC(F)I
C2H5FIP_5,ICPCF
C2H5I2OP,IC(POC)I
C2H5I2P,PC(C)(I)I
C2H5I2P_1,PC(I)CI
C2H5I2P_2,PCC(I)I
C2H5I2P_3,CPC(I)I
C2H5I2P_4,ICPCI
C2H5N2P,C1CPN=N1
C2H5O2P,O1CCOP1
C2H5O2P_1,O=P1(O)CC1
C2H5O2P_2,OC(=O)CP
C2H5O2P_3,O=P(C=C)O
C2H5O3P,O=P(O)(C=C)O
C2H5O3P_1,OC(=O)C[P]([H])([H])=O
C2H5OP,O=PCC
C2H5OP_1,O=P1CC1
C2H5OP_2,C=C[P]([H])([H])=O
C2H5P,P1CC1
C2H5P_1,PC=C
C2H6BrO2P,O=P(C(Br)C)O
C2H6BrO2P_1,O=P(CCBr)O
C2H6BrO2P_2,O=P(O)(C)CBr
C2H6BrO2P_3,O=P(CBr)OC
C2H6BrOP,BrCPOC
C2H6BrOP_1,O=P(C)CBr
C2H6BrOP_2,BrC(C)[P]([H])([H])=O
C2H6BrOP_3,BrCC[P]([H])([H])=O
C2H6BrP,BrC(P)C
C2H6BrP_1,BrCCP
C2H6BrP_2,CPCBr
C2H6ClO2P,O=P(C(Cl)C)O
C2H6ClO2P_1,O=P(CCCl)O
C2H6ClO2P_2,O=P(O)(C)CCl
C2H6ClO2P_3,O=P(CCl)OC
C2H6ClOP,ClCPOC
C2H6ClOP_1,O=P(C)CCl
C2H6ClOP_2,ClC(C)[P]([H])([H])=O
C2H6ClOP_3,ClCC[P]([H])([H])=O
C2H6ClP,ClC(P)C
C2H6ClP_1,ClCCP
C2H6ClP_2,CPCCl
C2H6FO2P,O=P(C(F)C)O
C2H6FO2P_1,O=P(CCF)O
C2H6FO2P_2,O=P(O)(C)CF
C2H6FO2P_3,O=P(CF)OC
C2H6FOP,FCPOC
C2H6FOP_1,O=P(C)CF
C2H6FOP_2,FC(C)[P]([H])([H])=O
C2H6FOP_3,FCC[P]([H])([H])=O
C2H6FP,PC(F)C
C2H6FP_1,PCCF
C2H6FP_2,CPCF
C2H6IO2P,O=P(C(I)C)O
C2H6IO2P_1,O=P(CCI)O
C2H6IO2P_2,O=P(O)(C)CI
C2H6IO2P_3,O=P(CI)OC
C2H6IOP,ICPOC
C2H6IOP_1,O=P(C)CI
C2H6IOP_2,IC(C)[P]([H])([H])=O
C2H6IOP_3,ICC[P]([H])([H])=O
C2H6IP,IC(P)C
C2H6IP_1,ICCP
C2H6IP_2,CPCI
C2H6NOP,NC(=O)CP
C2H6NOP_1,O=PNCC
C2H7O2P,COPOC
C2H7O2P_1,O=P(O)(C)C
C2H7O2P_2,O=P(CC)O
C2H7O2P_3,CP(O)OC
C2H7O2P_4,O=P(C)OC
C2H7O2P_5,OCPCO
C2H7O2PS,S=P(O)(O)CC
C2H7O2PS_1,S=P(OC)OC
C2H7O2PS_2,S=P(O)(OC)C
C2H7O3P,O=P(O)(CO)C
C2H7O3P_1,O=P(OC)OC
C2H7O3P_2,O(P(=O)O)CC
C2H7O3P_3,O=P(O)(CC)O
C2H7O3P_4,O=P(OC)(C)O
C2H7OP,OCCP
C2H7OP_1,O=P(C)C
C2H7OP_2,CPOC
C2H7OP_3,CC[P]([H])([H])=O
C2H7OPS,CP(C)(O)=S
C2H7OPS2,S=P(OC)(S)C
C2H7P,CPC
C2H7P_1,CCP
C2H7PS,CCSP
C2H8NO2P,CC(N)P(=O)O
C2H8NO2P_1,O=P(CCN)O
C2H8NO2P_2,CP(=O)(CN)O
C2H8NO2P_3,NP(OC)OC
C2H8NOPS,O=P(SC)(N)C
C2H8NOPSe,O=P(C)([Se]C)N
C2H8NP,NCCP
C2H8NP_1,NP(C)C
C2H8NP_2,N(P)(C)C
C2H8P2,PCCP
C2H8P2_1,CC(P)P
C2H8P2_2,CPCP
C2HBr2OP,O=PC(Br)=CBr
C2HBr2OP_1,O=PC=C(Br)Br
C2HBrClOP,O=PC(Br)=CCl
C2HBrClOP_1,O=PC(Cl)=CBr
C2HBrClOP_2,O=PC=C(Br)Cl
C2HBrFOP,O=PC(Br)=CF
C2HBrFOP_1,O=PC(F)=CBr
C2HBrFOP_2,O=PC=C(Br)F
C2HBrIOP,O=PC(Br)=CI
C2HBrIOP_1,O=PC(I)=CBr
C2HBrIOP_2,O=PC=C(Br)I
C2HCl2OP,O=PC(Cl)=CCl
C2HCl2OP_1,O=PC=C(Cl)Cl
C2HClFOP,O=PC(Cl)=CF
C2HClFOP_1,O=PC(F)=CCl
C2HClFOP_2,O=PC=C(Cl)F
C2HClIOP,O=PC(Cl)=CI
C2HClIOP_1,O=PC(I)=CCl
C2HClIOP_2,O=PC=C(Cl)I
C2HF2OP,O=PC(F)=CF
C2HF2OP_1,O=PC=C(F)F
C2HFIOP,O=PC(F)=CI
C2HFIOP_1,O=PC(I)=CF
C2HFIOP_2,O=PC=C(F)I
C2HOP,O=PC#C
C2IOP,O=PC#CI
C3H10NOP,O=P(C)(C)CN
C3H10NPS,S=P(NC)(C)C
C3H10P2,PCCCP
C3H10P2_1,CP(C)CP
C3H10P2_2,CC(C)(P)P
C3H2BrOP,O=PC(Br)C#C
C3H2BrOP_1,O=PCC#CBr
C3H2ClOP,O=PC(Cl)C#C
C3H2ClOP_1,O=PCC#CCl
C3H2FOP,O=PC(F)C#C
C3H2FOP_1,O=PCC#CF
C3H2IOP,O=PC(I)C#C
C3H2IOP_1,O=PCC#CI
